jdx,total_hh,pop_25p,lt_9,hs_nd,hs_d,college,associates,bachelors,graduate,es_16p,clf_16p,employed,unemployed,unemployment_rate,commute_wkrs,pct_drv_alone,pct_carpool,pct_pub_trans,pct_walk,pct_oth,pct_wfh,mhi,families,pct_fam_pov,pct_health_cov,total_units,pct_occup,pct_vcnt,total_pop,vote_pop,male,female,white,black,asian,amer_ind,pacific,race_oth,race_two_p,hispanic
Allegany County,28167,50793,1454,4089,21302,9999,4825,4733,4391,61696,32412,29357,3055,9.4,28727,82.4,9.8,0.5,4.2,1.2,2,41559,17157,11.2,93.2,33211,84.8,15.2,73060,59252,38077,34983,64695,6021,580,118,34,167,1445,1233
Anne Arundel County,204829,382657,8852,22100,93862,78474,28736,88157,62476,446935,303581,286787,16794,5.5,293520,80.1,7.6,3.7,2.3,1.4,4.9,91918,142363,3.9,94,219319,93.4,6.6,559737,412597,276842,282895,416331,89001,20103,1222,383,12470,20227,39402
Baltimore County,312826,569088,18308,33161,154724,111102,40101,121891,89801,667650,443325,416908,26417,6,408917,79.4,8.8,4.7,1.9,1.4,3.8,68989,203891,6.1,92.6,337031,92.8,7.2,825666,605359,391102,434564,519063,226879,47772,2110,394,7828,21620,40850
Calvert County,31479,60627,1065,3001,18704,15532,4570,10038,7717,71413,49073,45239,3834,7.8,44872,81.6,8.6,3.3,0.9,0.9,4.7,96808,23705,3.4,94,34613,90.9,9.1,90527,67844,44966,45561,73873,11124,1371,77,0,530,3552,3092
Caroline County,12010,22037,1291,2389,9207,4171,1608,2112,1259,25747,16663,15410,1253,7.5,15162,82.8,8.2,1.1,2.9,1.9,3.1,50830,8619,13.2,89.9,13525,88.8,11.2,32653,23885,15822,16831,26419,4411,187,30,16,623,967,2101
Carroll County,60449,114734,2440,6631,35112,23194,8690,24569,14098,135072,92719,88560,4159,4.5,86900,85,7.6,0.9,1.3,0.7,4.6,87060,44606,3.4,95.6,63123,95.8,4.2,167535,127562,82892,84643,155174,5538,2734,306,57,552,3174,5096
Cecil County,36993,69319,2170,6050,26015,14423,5070,9415,6176,80777,53155,49666,3489,6.6,48948,82.4,8.9,1.2,1.7,1.1,4.6,67938,26123,7.3,93,42269,87.5,12.5,102175,76626,50603,51572,90516,6847,1367,245,42,962,2196,4087
Charles County,54105,101706,2319,4984,32896,25597,8080,16756,11074,120875,81852,77775,4077,5,77928,81,8,6.1,1.1,0.7,3.1,91373,39377,5.8,95.6,58014,93.3,6.7,154357,112198,74489,79868,73744,65796,4760,1026,162,1169,7700,7939
Dorchester County,13206,23113,993,2465,8907,4576,1372,2928,1872,26350,16928,15222,1706,10.1,14819,78.6,13.8,0.5,2.3,1.7,3.1,47907,8773,12.8,93.5,16700,79.1,20.9,32451,24837,15519,16932,21527,9101,352,27,0,567,877,1516
Frederick County,88995,163563,4507,7670,41251,32627,12514,38413,26581,192078,135872,128721,7151,5.3,127027,77.3,9.9,2.9,2.2,1.2,6.5,85715,64219,4.8,93.9,93645,95,5,243465,174249,120072,123393,197960,22196,10701,646,146,4187,7629,20485
