jdx,1970,1980,1990,2000,2010,2008_2012_acs,2015p,2020p,2025p,2030p,2035p,2040p
Maryland,619766,920020,1238003,1351034,1573680,1574360,1625920,1665920,1688580,1702860,1717830,1744190
Allegany County,10330,13179,14693,15476,16610,16431,16270,16100,16060,16070,16050,16120
Anne Arundel County,40725,76605,108626,125267,143870,143877,146980,150270,151000,151730,152590,154360
Baltimore City,156129,159149,171855,151057,167310,166813,170100,171940,172860,174050,175870,179070
Baltimore County,97392,149147,178358,195131,220550,220693,225180,226800,225580,223760,223700,225930
Calvert County,2579,6258,12595,18521,23350,23333,24180,24900,24740,24220,23820,23860
Caroline County,2854,4525,6359,7118,8250,8263,8420,8950,9470,9930,10440,11070
Carroll County,10431,19526,30383,37628,43400,43351,43900,45610,45200,44430,44000,44820
Cecil County,7225,10429,16503,21026,24980,25026,25290,26130,27620,28610,29490,30570
Charles County,5835,13818,26202,31448,40750,41035,43390,47790,51370,53330,55000,56720
Dorchester County,5575,6885,7436,7429,8660,8746,8710,9000,9380,9700,10000,10240
Frederick County,12798,23616,37650,49673,61960,62125,64940,69920,73470,75200,76590,79220
Garrett County,2071,3854,5364,6232,6810,6861,6750,6790,6830,6790,6760,6820
Harford County,15046,27831,44150,54582,65130,65391,66990,68460,68800,69010,69620,71860
Howard County,8338,27067,52633,66041,78010,78390,82730,87940,89610,90080,89860,89600
Kent County,2551,3340,4260,4730,4930,4958,4920,4980,4930,4860,4810,4770
Montgomery County,84881,139533,212277,230995,273550,273506,291820,297840,303880,309610,313810,317110
Prince George's County,112095,168548,217509,221852,257610,257919,263100,262410,261060,260220,260460,261970
Queen Anne's County,2888,4864,8257,10039,12510,12581,13000,13780,14520,14910,15350,16000
Somerset County,2945,3781,4626,5126,5340,5232,5320,5380,5460,5480,5520,5530
St. Mary's County,4893,10332,17248,20671,25640,25724,27680,30390,33100,35350,36470,37900
Talbot County,4195,5648,7712,8123,9690,9542,9830,10110,10160,10120,10150,10310
Washington County,14399,21037,26373,29878,36090,36045,36780,38730,40560,41770,42950,44520
Wicomico County,9688,14456,18280,22182,26200,26239,26980,28280,29120,29760,30550,31640
Worcester County,3903,6591,8654,10809,12480,12279,12660,13420,13800,13870,13970,14180
