jdx,1970,1980,1990,2000,2010,2011_2015_acs,2015p,2020p,2025p,2030p,2035p,2040p,2045p
Maryland,1035929,1188276,1401893,1418491,1615040,1649773,1657380,1679500,1702230,1720180,1739280,1767850,1804390
Allegany County,20192,19926,17746,17520,17470,17319,17060,14210,17610,17780,17950,18270,18630
Anne Arundel County,86355,114773,137163,144505,158780,165156,166060,166680,166660,167660,169470,171950,175920
Baltimore County,171413,196051,203173,201766,219830,221655,221160,222470,220770,219300,219100,220310,221940
Calvert County,4942,9306,15452,20820,25630,25787,25660,26320,26300,25960,25750,25980,26470
Caroline County,4892,6050,7461,7927,8980,8808,8780,8870,9170,9400,9590,9810,10180
Carroll County,17467,27472,37522,43139,48650,49100,48630,48250,47120,45890,44990,44800,45440
Cecil County,14934,15942,20527,23840,27890,28126,28620,29110,30480,31910,33150,34950,37160
Charles County,11647,19874,30385,33535,40850,41341,41360,43340,44580,46790,48530,50440,53100
Dorchester County,7288,7694,7860,7715,8540,8404,8400,8850,9220,9460,9700,9900,10180
Frederick County,22605,33128,46603,57478,69610,72049,72950,76670,82600,84180,85820,88170,92060
Garrett County,4904,6751,7336,7620,8050,7870,7730,7820,7820,7730,7580,7530,7560
Harford County,33361,44117,57869,62399,70920,71813,71430,72170,72030,71840,72400,73770,75150
Howard County,16704,36166,60947,73844,85510,90700,91950,97820,100830,102060,102320,103630,105280
Kent County,4176,4367,4937,5003,5260,5087,5080,5380,5530,5610,5700,5860,6030
Montgomery County,141910,173715,236007,246128,285880,297332,299910,301580,305030,310380,316040,320480,325420
Prince George's County,180717,193807,224291,209268,247150,254178,255760,257120,258760,259530,261170,263440,266380
Queen Anne's County,4933,7156,9940,11810,14060,14079,14050,14540,14820,15110,15350,15810,16690
Somerset County,4421,4837,5217,5263,4600,4356,4300,4430,4530,4510,4930,4710,4830
St. Mary's County,13511,17044,23798,25361,30950,32059,32330,34180,36030,38650,40330,42150,44370
Talbot County,5957,7115,8514,8666,9750,9388,9200,9290,9370,9370,9370,9430,9640
Washington County,27680,31348,32996,33836,39520,38335,38160,39100,40220,41040,41930,43200,45010
Wicomico County,13713,17185,20854,22633,25600,25613,25900,26620,27460,28790,29500,30120,31130
Worcester County,6138,8617,9557,12313,13570,13197,13180,13440,13890,14110,14440,14640,15060
Baltimore City,216069,185835,175738,136102,147990,148021,149720,151240,151400,153120,154170,158500,160760
