jdx,year,grades,enrollment
Baltimore City,2006,K-5,37637
Allegany County,2006,K-5,3885
Anne Arundel County,2006,K-5,31460
Baltimore County,2006,K-5,43896
Calvert County,2006,K-5,7058
Caroline County,2006,K-5,2279
Carroll County,2006,K-5,11762
Cecil County,2006,K-5,6898
Charles County,2006,K-5,10411
Dorchester County,2006,K-5,1868
Frederick County,2006,K-5,17288
Garrett County,2006,K-5,1876
Harford County,2006,K-5,17077
Howard County,2006,K-5,20343
Kent County,2006,K-5,933
Montgomery County,2006,K-5,58318
Prince George's County,2006,K-5,52929
Queen Anne's County,2006,K-5,3149
St. Mary's County,2006,K-5,6927
Somerset County,2006,K-5,1245
Talbot County,2006,K-5,1729
Washington County,2006,K-5,9648
Wicomico County,2006,K-5,6708
Worcester County,2006,K-5,2650
Maryland,2006,K-5,357974
Baltimore City,2007,Pre-K,3642
Allegany County,2007,Pre-K,440
Anne Arundel County,2007,Pre-K,1606
Baltimore County,2007,Pre-K,3604
Calvert County,2007,Pre-K,365
Caroline County,2007,Pre-K,298
Carroll County,2007,Pre-K,311
Cecil County,2007,Pre-K,521
Charles County,2007,Pre-K,798
Dorchester County,2007,Pre-K,216
Frederick County,2007,Pre-K,873
Garrett County,2007,Pre-K,110
Harford County,2007,Pre-K,874
Howard County,2007,Pre-K,956
Kent County,2007,Pre-K,119
Montgomery County,2007,Pre-K,3046
Prince George's County,2007,Pre-K,6640
Queen Anne's County,2007,Pre-K,328
St. Mary's County,2007,Pre-K,765
Somerset County,2007,Pre-K,176
Talbot County,2007,Pre-K,163
Washington County,2007,Pre-K,508
Wicomico County,2007,Pre-K,458
Worcester County,2007,Pre-K,362
Maryland,2007,Pre-K,27179
Baltimore City,2007,K-5,36880
Allegany County,2007,K-5,3940
Anne Arundel County,2007,K-5,31989
Baltimore County,2007,K-5,44051
Calvert County,2007,K-5,7049
Caroline County,2007,K-5,2405
Carroll County,2007,K-5,11712
Cecil County,2007,K-5,6871
Charles County,2007,K-5,10401
Dorchester County,2007,K-5,1919
Frederick County,2007,K-5,17360
Garrett County,2007,K-5,1813
Harford County,2007,K-5,16918
Howard County,2007,K-5,20565
Kent County,2007,K-5,940
Montgomery County,2007,K-5,58706
Prince George's County,2007,K-5,52591
Queen Anne's County,2007,K-5,3177
St. Mary's County,2007,K-5,7126
Somerset County,2007,K-5,1243
Talbot County,2007,K-5,1764
Washington County,2007,K-5,9711
Wicomico County,2007,K-5,6802
Worcester County,2007,K-5,2671
Maryland,2007,K-5,358604
Baltimore City,2007,9-12,23084
Allegany County,2007,9-12,3061
Anne Arundel County,2007,9-12,23150
Baltimore County,2007,9-12,33346
Calvert County,2007,9-12,5910
Caroline County,2007,9-12,1762
Carroll County,2007,9-12,9769
Cecil County,2007,9-12,5147
Charles County,2007,9-12,9269
Dorchester County,2007,9-12,1484
Frederick County,2007,9-12,12962
Garrett County,2007,9-12,1522
Harford County,2007,9-12,12282
Howard County,2007,9-12,16240
