year,offense_name,total_population,total_male,total_female,m_0_9,m_10_12,m_13_14,m_15,m_16,m_17,f_0_9,f_10_12,f_13_14,f_15,f_16,f_17,race_population,white,black,asian_pacific_islander,american_indian
2016,Arson,264534532,1760,328,117,368,548,291,239,197,12,54,114,66,39,43,263887632,1436,516,41,48
2016,Aggravated Assault,264534532,16997,5918,141,1406,3743,3062,3839,4806,19,465,1565,1171,1337,1361,263887632,12370,9736,296,364
2016,Simple Assault,264534532,66360,38712,1043,7406,16966,12403,14134,14408,259,3353,11210,8036,8264,7590,263887632,59778,41923,1130,1378
2016,Burglary,264534532,23307,3071,167,1474,5301,4789,5662,5914,34,170,727,618,689,833,263887632,14413,11082,368,362
2016,Curfew and Loitering Law Violations,264534532,19218,8319,110,1184,4160,4405,5126,4233,24,449,1991,1887,2267,1701,263887632,15468,11045,382,429
2016,Disorderly Conduct,264534532,34438,19449,431,3428,9021,6690,7553,7315,80,1682,5883,4114,4049,3641,263887632,28572,23619,416,892
2016,Drug Abuse Violations,264534532,61781,18503,76,1323,7443,9284,16479,27176,22,447,2977,3084,4709,7264,263887632,59418,17572,1176,1277
2016,Drunkenness,264534532,2746,1120,14,15,232,333,632,1520,1,20,185,196,292,426,263887632,3173,380,54,206
2016,Drive Under the Influence,264534532,3913,1345,10,8,49,171,923,2752,3,3,25,64,341,909,263887632,4608,352,91,132
2016,Embezzlement,264534532,343,207,,6,39,33,90,175,,,5,17,69,116,263887632,320,208,12,7
2016,Offenses Against the Family and Children,264534532,1749,1126,61,157,401,389,343,398,37,104,328,224,220,213,263887632,1696,678,18,445
2016,Forgery and Counterfeiting,264534532,735,252,1,5,76,90,179,384,,3,23,20,64,142,263887632,537,423,16,5
2016,Fraud,264534532,2611,1212,2,83,476,474,673,903,2,44,208,216,319,423,263887632,1897,1807,34,52
2016,Gambling,264534532,181,26,3,,17,27,57,77,,,4,6,8,8,263887632,52,152,3,
2016,Murder and Nonnegligent Homicide,264534532,639,66,9,5,45,88,186,306,,,11,6,18,31,263887632,246,425,13,9
2016,Liquor Laws,264534532,18045,12005,10,130,1441,2583,4999,8882,1,146,1435,1990,3322,5111,263887632,26035,2001,424,1069
2016,Larceny,264534532,66057,45464,385,4257,14591,13030,15957,17837,123,2170,8761,8724,11786,13900,263887632,66218,39999,2087,1852
2016,Manslaughter by Negligence,264534532,54,13,,4,7,9,13,21,,,,2,2,9,263887632,47,20,,
2016,Motor Vehicle Theft,264534532,10433,2370,16,242,1978,2282,3009,2906,,62,585,619,595,509,263887632,5929,6415,138,193
2016,All Other Offenses,264534532,91740,36166,728,4150,16891,17073,22942,29956,239,1689,7917,7274,8966,10081,263887632,83389,38718,2157,2025
2016,Prostitution and Commercialized Vice,264534532,112,297,,2,20,13,31,46,1,2,26,42,68,158,263887632,165,231,9,3
2016,Robbery,264534532,13989,1656,19,342,2260,2834,4019,4515,2,32,291,331,448,552,263887632,4546,10745,212,96
2016,Rape,264534532,2899,128,30,309,803,500,561,696,1,30,41,20,17,19,263887632,1918,983,45,25
2016,Runaway,264534532,19135,20941,209,1283,4905,4757,4851,3130,86,971,5806,5379,5418,3281,263887632,26329,10832,1810,799
2016,Sex Offenses,264534532,6041,850,96,785,2004,1136,964,1056,17,118,297,155,140,123,263887632,4891,1760,104,64
2016,Stolen Property,264534532,7573,1436,6,225,1320,1600,2092,2330,1,51,318,303,380,383,263887632,3505,5244,104,90
2016,Suspicion,264534532,82,20,1,4,18,12,21,26,,2,3,3,4,8,263887632,47,47,8,
2016,Vagrancy,264534532,482,163,,13,90,98,129,152,3,10,41,24,46,39,263887632,379,224,9,11
2016,Vandalism,264534532,26595,5484,498,2808,7365,4854,5507,5563,60,514,1572,1001,1134,1203,263887632,21967,8794,359,626
2016,Weapons,264534532,14084,1737,172,1170,2878,2488,3275,4101,30,221,415,302,373,396,263887632,8442,6869,235,160
2015,Arson,260792111,1828,347,100,423,565,304,255,181,9,70,110,74,44,40,259649328,1586,490,25,58
2015,Aggravated Assault,260792111,17266,5964,187,1453,3939,3219,3964,4504,36,490,1472,1146,1301,1519,259649328,12694,9749,306,350
2015,Simple Assault,260792111,68165,39519,1029,7557,17486,12659,14609,14825,187,3553,11533,8109,8473,7664,259649328,61377,42899,1251,1389
2015,Burglary,260792111,25355,3807,195,1553,5764,5236,6177,6430,42,249,897,779,859,981,259649328,15895,12417,353,361
2015,Curfew and Loitering Law Violations,260792111,25738,10131,216,1758,5475,5607,6883,5799,52,574,2375,2456,2791,1883,259649328,18588,16149,491,424
2015,Disorderly Conduct,260792111,38053,20932,463,3801,10051,7684,8089,7965,90,1806,6495,4661,4265,3615,259649328,31646,25259,507,1138
2015,Drug Abuse Violations,260792111,62609,16779,64,1252,7946,9668,16504,27175,17,440,2897,2829,4234,6362,259649328,58681,17405,1163,1390
2015,Drunkenness,260792111,3235,1280,18,25,302,457,729,1704,5,18,204,218,324,511,259649328,3710,417,64,289
2015,Drive Under the Influence,260792111,4004,1326,17,5,61,166,870,2885,3,,36,68,332,887,259649328,4663,308,102,181
2015,Embezzlement,260792111,269,197,,3,14,11,81,160,,2,8,7,59,121,259649328,267,178,8,6
2015,Offenses Against the Family and Children,260792111,1843,1074,75,136,466,380,355,431,65,68,262,187,240,252,259649328,1796,922,23,143
2015,Forgery and Counterfeiting,260792111,626,215,5,15,61,63,144,338,2,2,23,27,48,113,259649328,507,314,8,6
2015,Fraud,260792111,2445,1204,8,69,408,411,590,959,1,36,185,221,319,442,259649328,1834,1646,54,63
2015,Gambling,260792111,325,32,1,10,33,62,104,115,,,1,4,10,17,259649328,77,267,5,6
2015,Murder and Nonnegligent Homicide,260792111,608,41,,5,44,91,180,288,1,1,5,5,8,21,259649328,240,397,3,6
2015,Liquor Laws,260792111,20887,13904,9,146,1747,2994,5748,10243,6,150,1639,2294,3885,5930,259649328,29995,2370,514,1382
2015,Larceny,260792111,76003,50926,436,4899,16977,14521,18282,20888,121,2484,9733,9559,13379,15650,259649328,75276,46115,2419,1857
2015,Manslaughter by Negligence,260792111,31,2,1,2,6,3,8,11,,,,,1,1,259649328,16,15,,2
2015,Motor Vehicle Theft,260792111,9553,2058,21,218,1704,2228,2711,2671,4,52,517,516,511,458,259649328,5709,5544,116,181
2015,All Other Offenses,260792111,98700,37520,747,4216,18046,18688,25413,31590,208,1771,8322,7817,9254,10148,259649328,89754,40312,2224,2396
2015,Prostitution and Commercialized Vice,260792111,130,363,5,18,18,18,25,46,,5,43,56,95,164,259649328,176,298,11,8
2015,Robbery,260792111,13249,1554,16,307,2206,2811,3632,4277,1,37,310,358,405,443,259649328,4274,10240,194,60
2015,Rape,260792111,2804,115,26,309,771,517,549,632,1,15,47,20,16,16,259649328,1879,927,38,42
2015,Runaway,260792111,20757,23199,242,1325,5271,5083,5538,3298,101,1084,6634,5941,5949,3490,259649328,28864,12105,1799,932
2015,Sex Offenses,260792111,6173,898,102,775,2047,1085,1065,1099,19,103,318,170,165,123,259649328,4954,1842,130,75
2015,Stolen Property,260792111,7110,1381,21,225,1237,1489,1956,2182,2,46,347,290,305,391,259649328,3566,4696,105,74
2015,Suspicion,260792111,115,39,4,10,29,22,26,24,1,2,7,7,11,11,259649328,102,37,,11
2015,Vagrancy,260792111,647,217,3,30,130,144,169,171,2,11,47,56,56,45,259649328,486,338,9,26
2015,Vandalism,260792111,27990,5694,509,2890,7483,5153,5952,6003,65,530,1628,1065,1138,1268,259649328,23328,9079,437,526
2015,Weapons,260792111,13871,1689,167,1073,2978,2398,3242,4013,13,193,463,290,352,378,259649328,8615,6459,255,138
2014,Arson,255852212,2209,329,128,402,758,360,334,227,14,52,119,64,37,43,254957718,1815,619,38,32
2014,Aggravated Assault,255852212,18108,6124,213,1579,4023,3334,4128,4831,48,471,1550,1244,1424,1387,254957718,13285,10201,338,253
2014,Simple Assault,255852212,72250,40809,1127,7892,18930,13394,15313,15594,233,3644,11873,8169,8918,7972,254957718,63598,46286,1110,1291
2014,Burglary,255852212,28837,3826,231,1714,6143,5936,7070,7743,41,237,901,761,875,1011,254957718,18239,13558,407,297
2014,Curfew and Loitering Law Violations,255852212,30542,11700,354,2273,6923,6517,7730,6745,73,719,2856,2600,3105,2347,254957718,21715,19254,576,468
2014,Disorderly Conduct,255852212,43033,22339,541,3950,11246,8269,9338,9689,82,1881,6661,4905,4746,4064,254957718,34564,28905,458,830
2014,Drug Abuse Violations,255852212,72900,18028,111,1563,9811,11829,19362,30224,23,492,3228,3186,4447,6652,254957718,66910,20704,1367,1251
2014,Drunkenness,255852212,3720,1473,12,21,341,503,851,1992,1,17,219,272,313,651,254957718,4443,501,78,126
2014,Drive Under the Influence,255852212,4136,1432,40,3,50,162,923,2958,5,6,36,78,359,948,254957718,4986,322,95,104
2014,Embezzlement,255852212,212,156,1,5,8,17,52,129,1,1,6,5,48,95,254957718,217,139,6,4
2014,Offenses Against the Family and Children,255852212,1681,1038,42,150,403,329,325,432,11,74,298,217,219,219,254957718,1726,870,18,79
2014,Forgery and Counterfeiting,255852212,692,262,2,13,85,91,153,348,1,1,21,29,74,136,254957718,590,342,10,4
2014,Fraud,255852212,2337,1128,4,89,331,422,585,906,6,42,186,177,306,411,254957718,1988,1331,37,64
2014,Gambling,255852212,399,53,,3,54,87,109,146,,,10,9,16,18,254957718,90,349,9,2
2014,Murder and Nonnegligent Homicide,255852212,555,49,6,3,35,67,157,287,,,5,7,21,16,254957718,251,340,6,5
2014,Liquor Laws,255852212,25740,16794,21,162,1864,3533,7056,13104,13,157,1744,2886,4729,7265,254957718,37006,3055,638,1315
2014,Larceny,255852212,86091,58987,520,5499,19660,16262,20477,23673,207,2920,11639,11253,15134,17834,254957718,86910,52316,2249,2163
2014,Manslaughter by Negligence,255852212,34,9,,1,4,7,7,15,,1,,,4,4,254957718,32,10,,
2014,Motor Vehicle Theft,255852212,8497,1712,17,182,1649,1939,2330,2380,1,37,436,402,432,404,254957718,5178,4733,114,111
2014,All Other Offenses,255852212,108410,40397,871,4603,19816,20687,27679,34754,286,1862,9070,8375,9879,10925,254957718,98604,45048,1637,1964
2014,Prostitution and Commercialized Vice,255852212,129,461,,5,23,20,26,55,2,5,40,70,109,235,254957718,266,310,7,6
2014,Robbery,255852212,14044,1579,14,342,2454,2920,3829,4485,5,36,326,337,421,454,254957718,4261,11048,147,85
2014,Rape,255852212,2567,112,23,289,704,499,483,569,2,11,33,27,16,23,254957718,1732,878,28,19
2014,Runaway,255852212,22845,23253,298,1667,5972,5415,5785,3708,93,1091,6708,5932,6103,3326,254957718,30122,14025,821,803
