name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,Forward,52,5,9.6,1.2,3.1,0.383,0.2,0.8,0.25,1,2.3,0.426,0.3,0.4,0.682,0.2,0.8,1,0.4,0.2,0.1,0.4,1.2,2.9
Tajama Abraham,Center,40,5,11.7,1.3,3.5,0.379,0,0,,1.3,3.5,0.379,0.9,1.3,0.642,0.9,1,1.9,0.3,0.4,0.3,1.4,2,3.5
Svetlana Abrosimova,Forward,263,153,24.2,3.3,8.4,0.395,0.9,2.5,0.35,2.4,5.9,0.415,1.6,2.5,0.654,1.2,2.9,4.1,2.1,1.3,0.2,2.4,2.3,9.2
Natalie Achonwa,Forward,120,68,18.2,3,5.5,0.542,0,0,,3,5.5,0.542,1.5,2,0.768,1.5,2.7,4.2,0.8,0.6,0.5,1,2.2,7.5
Jessica Adair,Center,51,1,9.9,1.3,2.8,0.454,0,0,,1.3,2.8,0.454,1.1,1.7,0.625,1.1,1.6,2.7,0.3,0.2,0.4,0.8,1.6,3.6
Danielle Adams,Forward-Center,174,45,19.1,3.7,8.7,0.422,1.1,3.3,0.332,2.6,5.5,0.476,2,2.7,0.757,1.3,2.5,3.9,0.8,0.6,0.6,1.2,2.4,10.5
Jordan Adams,Center,10,0,9.6,1.3,3.3,0.394,0.5,1.2,0.417,0.8,2.1,0.381,0.2,0.2,1,1,1.3,2.3,0.4,0.2,0.3,1,1,3.3
Elisa Aguilar,Guard,28,0,5,0.5,1.2,0.424,0.4,0.8,0.524,0.1,0.4,0.25,0.1,0.3,0.571,0,0.4,0.4,0.6,0.1,0.1,0.4,0.2,1.5
Matee Ajavon,Guard,323,104,17.4,2.3,6.6,0.347,0.4,1.7,0.266,1.8,4.9,0.375,1.9,2.5,0.782,0.6,1.1,1.8,1.8,1,0.1,1.7,2.2,6.9
Evelyn Akhator,Forward,15,0,4.1,0.3,1.1,0.25,0,0,,0.3,1.1,0.25,0.3,0.4,0.833,0.5,0.1,0.6,0,0.1,0.2,0.3,0.4,0.9
Marcie Alberts,Guard,5,0,6,0,0.4,0,0,0.4,0,0,0,,0,0,,0,0.2,0.2,0.6,0.4,0,0.6,0.4,0
Markita Aldridge,Guard,65,2,10.6,0.9,2.4,0.363,0.1,0.5,0.257,0.7,1.9,0.393,0.4,0.9,0.5,0.3,0.6,1,1,0.4,0.2,1.1,1.1,2.3
Erin Alexander,Guard,20,0,7.1,0.6,2.2,0.273,0.6,1.8,0.314,0.1,0.5,0.111,0.2,0.2,1,0.4,0.5,0.9,0.5,0.2,0,0.6,0.9,2
Kayla Alexander,Center,184,11,12.5,1.7,3.3,0.505,0,0,,1.7,3.3,0.505,0.8,1.1,0.769,1.2,1.8,3,0.3,0.2,0.5,0.9,1.6,4.2
Tawona Alhaleem,Forward-Guard,26,1,9.7,0.7,2.2,0.328,0.2,0.4,0.364,0.6,1.8,0.319,0.3,0.5,0.5,0.6,0.9,1.5,0.5,0.4,0,1.1,0.8,1.9
Charel Allen,Guard,6,0,8.2,1.2,2.7,0.438,0.3,1,0.333,0.8,1.7,0.5,0,0,,0.3,0.7,1,0.5,0.2,0,1,0.8,2.7
Lindsay Allen,Guard,52,6,14.1,1,2.6,0.378,0,0.6,0.034,1,2,0.472,0.5,0.7,0.706,0.3,1.1,1.4,2.5,0.6,0,0.8,0.8,2.4
Rebecca Allen,Guard,84,6,10.8,1.5,3.7,0.4,0.5,1.4,0.362,1,2.3,0.423,0.4,0.5,0.783,0.5,1.4,1.9,0.4,0.4,0.4,0.6,1.3,3.9
Mactabene Amachree,Forward,12,0,4.4,0.3,0.9,0.273,0,0,,0.3,0.9,0.273,0.4,0.7,0.625,0.4,0.8,1.3,0,0.4,0.3,0.8,0.4,0.9
Monique Ambers,Forward,21,0,4.2,0.2,0.4,0.444,0,0,,0.2,0.4,0.444,0.3,0.7,0.4,0.5,0.5,1,0.2,0,0.1,0.3,0.7,0.7
Ambrosia Anderson,Forward,4,0,2.5,0,0.3,0,0,0,,0,0.3,0,0,0,,0.3,0.8,1,0,0.3,0,0.3,0,0
Chantelle Anderson,Center,124,40,12.7,1.6,3.4,0.469,0,0,,1.6,3.4,0.469,0.9,1.2,0.73,0.7,1.4,2,0.3,0.2,0.3,1.1,2.2,4.1
Jolene Anderson,Guard,24,7,15.3,1.5,5.3,0.278,0.7,2.9,0.232,0.8,2.4,0.333,0.5,0.6,0.733,0.5,2,2.4,1.1,0.3,0,0.7,0.7,4
Keisha Anderson,Guard,55,9,10.3,0.6,1.7,0.354,0.1,0.3,0.286,0.5,1.5,0.366,0.4,0.5,0.786,0.3,0.9,1.2,1.7,0.6,0.1,1.2,1.2,1.7
Mery Andrade,Forward,140,67,19.9,1.5,3.9,0.381,0.3,1.1,0.288,1.2,2.8,0.419,0.9,1.3,0.729,0.6,1.5,2.1,2.1,1,0.2,1.5,2.4,4.2
Yvette Angel,Guard,5,3,18,1.4,3.2,0.438,0,1,0,1.4,2.2,0.636,0,0.6,0,0.4,1.4,1.8,2.2,0.8,0.2,1.6,1.2,2.8
Nicky Anosike,Forward-Center,139,122,26.8,2.8,6.7,0.415,0,0,0.167,2.8,6.7,0.416,3.3,4.6,0.725,2.3,4.4,6.6,1.7,1.9,1,1.7,2.9,8.9
Jayne Appel-Marinelli,Center,219,155,20.3,1.6,3.3,0.498,0,0.1,0.211,1.6,3.2,0.506,0.8,1.2,0.639,1.6,4.5,6.1,1.5,0.6,0.9,1.2,2.5,4
Janeth Arcain,Guard,254,196,30.1,3.9,9,0.437,0.3,1.2,0.251,3.6,7.8,0.466,2.3,2.6,0.867,1.1,2.5,3.6,1.8,1.4,0.1,1.8,2,10.4
Katasha Artis,Forward,20,0,5.7,0.2,0.8,0.25,0,0.1,0,0.2,0.8,0.267,0.4,0.8,0.533,0.1,0.8,0.8,0.4,0.3,0.1,0.6,0.7,0.8
Marlies Askamp,Center,172,79,18.6,2.1,4.7,0.44,0,0,0.167,2.1,4.7,0.442,1.8,2.6,0.711,2.1,2.7,4.8,0.6,0.6,0.4,1.1,2.3,6
Ariel Atkins,Guard,29,24,22.5,4.1,9.6,0.432,1.6,4.3,0.357,2.6,5.2,0.493,1.4,1.8,0.824,1,1.4,2.4,2.1,1.3,0.3,1.3,2.5,11.3
